id,product_name,price,discounted_price,discount_percent,thumb_image
34,Laptop ASUS Vivobook S 14 OLED M5406WA PP071WS,32990000.0,33990000.0,-3.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
35,Laptop ASUS Vivobook S 14 OLED S5406MA PP046WS,24290000.0,26990000.0,-10.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
36,Laptop Acer Swift Go 14 SFG14 73 75YM,26490000.0,27490000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
37,Laptop gaming Acer Nitro V ANV15 51 57B2,25990000.0,26990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
38,Laptop Acer Swift Go 14 SFG14 73 57FZ,23490000.0,24490000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
39,Laptop gaming HP VICTUS 16-r0230TX 9Q981PA,26490000.0,34190000.0,-23.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
40,Laptop gaming HP VICTUS 16-r0226TX 9Q977PA,29990000.0,38690000.0,-22.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
41,Laptop gaming HP VICTUS 16-r0127TX 8C5N2PA,30990000.0,38390000.0,-19.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
42,Laptop gaming Lenovo LOQ 15ARP9 83JC007JVN,21490000.0,24490000.0,-12.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
43,Laptop gaming Lenovo LOQ 15ARP9 83JC003YVN,27990000.0,31490000.0,-11.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
44,Laptop gaming Lenovo Legion 5 15IRX9 83JJ000FVN,34790000.0,37990000.0,-8.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
45,Laptop Lenovo Yoga Pro 7 14IMH9 83E2006MVN,43990000.0,47290000.0,-7.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
46,Laptop gaming ASUS TUF Gaming FA401WV RG062WS,40990000.0,44990000.0,-9.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
47,Laptop gaming Lenovo LOQ 15IRX9 83DV00UFVN,31990000.0,35990000.0,-11.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
48,Laptop gaming MSI Cyborg 14 A13VE 090VN,25990000.0,27990000.0,-7.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
49,Laptop gaming ASUS TUF Gaming A15 FA507NV LP061W,28490000.0,32490000.0,-12.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
50,Laptop gaming Acer Predator Helios Neo 14 PHN14 51 96HG,56990000.0,59990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
