id,product_name,price,discounted_price,discount_percent,thumb_image
1,Laptop Acer Swift 14 AI SF14 51 75VP,38990000.0,39990000.0,-3.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_cd9037919f96427a9c25e318a8a00134.png
2,Laptop Acer Swift 14 AI SF14 51 53P9,33990000.0,34990000.0,-3.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
3,Laptop gaming MSI Crosshair 16 HX D14VFKG 860VN,39990000.0,41990000.0,-5.0,https://product.hstatic.net/200000722513/product/nitro-v_755588bd95514b6386940d73d3951e2d_1024x1024_f20b2c104e64410e9569c61724923dad.png
4,Laptop Acer Swift X SFX16 51G 516Q,19990000.0,29990000.0,-33.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
5,Laptop Acer Swift Go SFG14 71 513F,16990000.0,24590000.0,-31.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
6,Laptop gaming Lenovo LOQ 15IRX9 83DV00UGVN,29490000.0,32990000.0,-11.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
7,Laptop gaming ASUS ROG Strix SCAR 18 G834JYR R6199,109990000.0,114990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
8,Laptop gaming ASUS ROG Strix SCAR 18 G834JZR R6160,83990000.0,87990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
9,Laptop gaming ASUS ROG Strix G16 G614JIR N4193W,54990000.0,56990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
10,Laptop MSI Modern 15 F13MG 082VN,16490000.0,17490000.0,-6.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
11,Laptop gaming MSI Thin 15 B13UCX 2080VN,16990000.0,19990000.0,-15.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
12,Laptop MSI Prestige 14 AI Studio C1UDXG 058VN,29990000.0,30990000.0,-3.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
13,Laptop MSI Prestige 14 AI Studio C1VEG 056VN,34990000.0,36990000.0,-5.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
14,Laptop Lenovo ThinkPad P14s Gen 5 21G2003PVA,48490000.0,49990000.0,-3.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
15,Laptop Lenovo ThinkPad P14s Gen 5 21G2003NVA,47990000.0,48990000.0,-2.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
16,Laptop Lenovo ThinkPad X1 Carbon Gen 12 21KC009NVN,48490000.0,49990000.0,-3.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
17,Laptop Lenovo ThinkPad X13 Gen 5 21LU004TVN,39990000.0,43990000.0,-9.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
18,Laptop Lenovo ThinkBook 14 G7 IML 21MR006YVN,21490000.0,23990000.0,-10.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
19,Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BQVN,21490000.0,23990000.0,-10.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
20,Laptop gaming Acer Nitro 5 AN515 46 R6QR,20990000.0,41690000.0,-50.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
21,Laptop gaming Acer Predator Helios Neo 16 PHN16 72 78DQ,44990000.0,46990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
22,Laptop gaming Acer Nitro V ANV15 51 76B9,30990000.0,32990000.0,-6.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
23,Laptop gaming Acer Nitro V ANV15 51 73UU,26990000.0,27990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
24,Laptop gaming MSI Sword 16 HX B14VEKG 856VN,32990000.0,35990000.0,-8.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
25,Laptop gaming Acer Predator Triton Neo 16 PTN16 51 78JQ,49990000.0,52490000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
26,Laptop Acer Swift X14 SFX14 72G 79UW,52990000.0,53990000.0,-2.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
27,Laptop Acer Swift X14 SFX14 72G 708X,45990000.0,47490000.0,-3.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
28,Laptop Acer Swift X14 SFX14 72G 77F9,43990000.0,44990000.0,-2.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
29,Laptop gaming ASUS ROG Strix SCAR 16 G634JYR RA132W,117990000.0,119990000.0,-2.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
30,Laptop gaming Lenovo LOQ 15IAX9 83GS001QVN,24490000.0,26990000.0,-9.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
31,Laptop ASUS Vivobook S 14 OLED M5406WA PP071WS,32990000.0,33990000.0,-3.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
32,Laptop ASUS Vivobook S 14 OLED S5406MA PP046WS,24290000.0,26990000.0,-10.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
33,Laptop Acer Swift Go 14 SFG14 73 75YM,26490000.0,27490000.0,-4.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
34,Laptop gaming Acer Nitro V ANV15 51 57B2,25990000.0,26990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
35,Laptop Acer Swift Go 14 SFG14 73 57FZ,23490000.0,24490000.0,-4.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
36,Laptop gaming HP VICTUS 16-r0230TX 9Q981PA,26490000.0,34190000.0,-23.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
37,Laptop gaming HP VICTUS 16-r0226TX 9Q977PA,29990000.0,38690000.0,-22.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
38,Laptop gaming HP VICTUS 16-r0127TX 8C5N2PA,30990000.0,38390000.0,-19.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
39,Laptop gaming Lenovo LOQ 15ARP9 83JC007JVN,21490000.0,24490000.0,-12.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
40,Laptop gaming Lenovo LOQ 15ARP9 83JC003YVN,27990000.0,31490000.0,-11.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
41,Laptop gaming Lenovo Legion 5 15IRX9 83JJ000FVN,34790000.0,37990000.0,-8.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
42,Laptop Lenovo Yoga Pro 7 14IMH9 83E2006MVN,43990000.0,47290000.0,-7.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
43,Laptop gaming Lenovo LOQ 15IRX9 83DV00UFVN,31990000.0,35990000.0,-11.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
44,Laptop gaming MSI Cyborg 14 A13VE 090VN,25990000.0,27990000.0,-7.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
45,Laptop gaming ASUS TUF Gaming A15 FA507NV LP061W,28490000.0,32490000.0,-12.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
46,Laptop gaming Acer Predator Helios Neo 14 PHN14 51 96HG,56990000.0,59990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
