id,product_name,price,discounted_price,discount_percent,thumb_image
1,Laptop gaming HP Victus 16 s0142AX 9Q989PA,27990000.0,34490000.0,-19.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
2,Laptop gaming HP VICTUS 16-r0230TX 9Q981PA,26490000.0,34190000.0,-23.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
3,Laptop gaming HP VICTUS 16-r0226TX 9Q977PA,29990000.0,38690000.0,-22.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
4,Laptop gaming HP VICTUS 16-r0127TX 8C5N2PA,30990000.0,38390000.0,-19.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
5,Laptop gaming HP VICTUS 16-s0078AX 8C5N7PA,22990000.0,27390000.0,-16.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
6,Laptop gaming HP OMEN 16 wf0129TX 8W943PA,64990000.0,69990000.0,-7.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
