id,product_name,price,discounted_price,discount_percent,thumb_image
34,Laptop gaming Lenovo LOQ 15ARP9 83JC003YVN,28490000.0,31490000.0,-10.0,https://product.hstatic.net/200000722513/product/thin-new_53b6dda3063c4b1fb550042f10500adc.png
35,Laptop gaming Lenovo Legion 5 15IRX9 83JJ000FVN,36490000.0,37990000.0,-4.0,
36,Laptop Lenovo Yoga Pro 7 14IMH9 83E2006MVN,43990000.0,47290000.0,-7.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
37,Laptop gaming ASUS TUF Gaming A15 FA507NV LP061W,27490000.0,28490000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
38,Laptop Gaming MSI Stealth 18 AI Studio A1VHG 025VN,89990000.0,94990000.0,-5.0,https://product.hstatic.net/200000722513/product/thin-new_53b6dda3063c4b1fb550042f10500adc.png
39,Laptop gaming Acer Predator Helios Neo 14 PHN14 51 96HG,56990000.0,59990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
40,Laptop gaming Acer Predator Helios Neo 14 PHN14 51 99Y8,46990000.0,49990000.0,-6.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
41,Laptop gaming ASUS Vivobook 16X K3605ZC RP564W,18790000.0,19490000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
42,Laptop gaming ASUS Vivobook 16X K3605ZU RP296W,22490000.0,23290000.0,-3.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
43,Laptop gaming Acer Nitro V ANV16 41 R36Y,29990000.0,31990000.0,-6.0,https://product.hstatic.net/200000722513/product/thin-new_53b6dda3063c4b1fb550042f10500adc.png
44,Laptop gaming Acer Predator Helios Neo 16 PHN16 72 950P,52990000.0,59990000.0,-12.0,https://product.hstatic.net/200000722513/product/thin-new_53b6dda3063c4b1fb550042f10500adc.png
45,Laptop gaming Acer Nitro V ANV16 41 R6NA,32990000.0,34990000.0,-6.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
46,Laptop gaming Acer Nitro V ANV16 41 R7EN,27490000.0,28790000.0,-5.0,https://product.hstatic.net/200000722513/product/thin-new_53b6dda3063c4b1fb550042f10500adc.png
47,Laptop gaming Acer Nitro V ANV16 41 R6ZY,25990000.0,27490000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
48,Laptop gaming MSI Stealth 18 Mercedes AMG A1VHG 080VN,102990000.0,,,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
49,Laptop ASUS Vivobook S 15 OLED S5507QA MA089WS,32990000.0,34990000.0,-6.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
50,Laptop Lenovo ThinkPad X1 Carbon G12 21KC008NVN,55990000.0,57990000.0,-3.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
